,index,UE2-CQI
0,18000,12.0
1,18001,15.0
2,18002,15.0
3,18003,15.0
4,18004,11.0
5,18005,15.0
6,18006,8.0
7,18007,11.0
8,18008,13.0
9,18009,8.0
10,18010,15.0
11,18011,15.0
12,18012,10.0
13,18013,12.0
14,18014,15.0
15,18015,8.0
16,18016,10.0
17,18017,9.0
18,18018,12.0
19,18019,9.0
20,18020,15.0
21,18021,13.0
22,18022,6.0
23,18023,8.0
24,18024,10.0
25,18025,11.0
26,18026,12.0
27,18027,6.0
28,18028,8.0
29,18029,6.0
30,18030,7.0
31,18031,11.0
32,18032,8.0
33,18033,12.0
34,18034,9.0
35,18035,12.0
36,18036,10.0
37,18037,10.0
38,18038,15.0
39,18039,12.0
40,18040,9.0
41,18041,6.0
42,18042,13.0
43,18043,13.0
44,18044,11.0
45,18045,11.0
46,18046,8.0
47,18047,11.0
48,18048,14.0
49,18049,12.0
50,18050,5.0
51,18051,6.0
52,18052,10.0
53,18053,11.0
54,18054,11.0
55,18055,8.0
56,18056,12.0
57,18057,8.0
58,18058,14.0
59,18059,8.0
60,18060,14.0
61,18061,6.0
62,18062,9.0
63,18063,8.0
64,18064,12.0
65,18065,10.0
66,18066,11.0
67,18067,8.0
68,18068,10.0
69,18069,7.0
70,18070,9.0
71,18071,9.0
72,18072,12.0
73,18073,8.0
74,18074,11.0
75,18075,11.0
76,18076,9.0
77,18077,7.0
78,18078,10.0
79,18079,8.0
80,18080,9.0
81,18081,10.0
82,18082,10.0
83,18083,12.0
84,18084,6.0
85,18085,15.0
86,18086,9.0
87,18087,13.0
88,18088,10.0
89,18089,10.0
90,18090,14.0
91,18091,11.0
92,18092,6.0
93,18093,7.0
94,18094,5.0
95,18095,12.0
96,18096,8.0
97,18097,9.0
98,18098,15.0
99,18099,10.0
100,18100,13.0
101,18101,7.0
102,18102,14.0
103,18103,15.0
104,18104,15.0
105,18105,7.0
106,18106,12.0
107,18107,11.0
108,18108,8.0
109,18109,5.0
110,18110,15.0
111,18111,12.0
112,18112,11.0
113,18113,15.0
114,18114,11.0
115,18115,14.0
116,18116,13.0
117,18117,15.0
118,18118,15.0
119,18119,14.0
120,18120,15.0
121,18121,15.0
122,18122,15.0
123,18123,10.0
124,18124,15.0
125,18125,14.0
126,18126,13.0
127,18127,15.0
128,18128,15.0
129,18129,8.0
130,18130,15.0
131,18131,15.0
132,18132,15.0
133,18133,15.0
134,18134,15.0
135,18135,12.0
136,18136,15.0
137,18137,15.0
138,18138,13.0
139,18139,15.0
140,18140,15.0
141,18141,14.0
142,18142,15.0
143,18143,15.0
144,18144,15.0
145,18145,15.0
146,18146,15.0
147,18147,13.0
148,18148,15.0
149,18149,15.0
150,18150,15.0
151,18151,15.0
152,18152,10.0
153,18153,14.0
154,18154,12.0
155,18155,15.0
156,18156,15.0
157,18157,9.0
158,18158,10.0
159,18159,10.0
160,18160,12.0
161,18161,14.0
162,18162,13.0
163,18163,14.0
164,18164,15.0
165,18165,13.0
166,18166,13.0
167,18167,13.0
168,18168,10.0
169,18169,11.0
170,18170,11.0
171,18171,12.0
172,18172,14.0
173,18173,13.0
174,18174,15.0
175,18175,14.0
176,18176,15.0
177,18177,13.0
178,18178,14.0
179,18179,9.0
180,18180,9.0
181,18181,9.0
182,18182,9.0
183,18183,9.0
184,18184,10.0
185,18185,10.0
186,18186,11.0
187,18187,9.0
188,18188,8.0
189,18189,11.0
190,18190,11.0
191,18191,8.0
192,18192,10.0
193,18193,7.0
194,18194,7.0
195,18195,10.0
196,18196,9.0
197,18197,11.0
198,18198,9.0
199,18199,10.0
200,18200,10.0
201,18201,10.0
202,18202,4.0
203,18203,9.0
204,18204,7.0
205,18205,10.0
206,18206,8.0
207,18207,10.0
208,18208,10.0
209,18209,13.0
210,18210,11.0
211,18211,13.0
212,18212,8.0
213,18213,12.0
214,18214,9.0
215,18215,13.0
216,18216,11.0
217,18217,11.0
218,18218,11.0
219,18219,8.0
220,18220,9.0
221,18221,11.0
222,18222,13.0
223,18223,10.0
224,18224,10.0
225,18225,5.0
226,18226,9.0
227,18227,11.0
228,18228,8.0
229,18229,12.0
230,18230,14.0
231,18231,12.0
232,18232,9.0
233,18233,12.0
234,18234,9.0
235,18235,8.0
236,18236,9.0
237,18237,15.0
238,18238,9.0
239,18239,11.0
240,18240,6.0
241,18241,7.0
242,18242,8.0
243,18243,10.0
244,18244,13.0
245,18245,10.0
246,18246,8.0
247,18247,14.0
248,18248,11.0
249,18249,13.0
250,18250,8.0
251,18251,12.0
252,18252,6.0
253,18253,8.0
254,18254,15.0
255,18255,10.0
256,18256,13.0
257,18257,12.0
258,18258,11.0
259,18259,9.0
260,18260,15.0
261,18261,9.0
262,18262,15.0
263,18263,13.0
264,18264,15.0
265,18265,13.0
266,18266,15.0
267,18267,4.0
268,18268,9.0
269,18269,11.0
270,18270,2.0
271,18271,8.0
272,18272,13.0
273,18273,15.0
274,18274,15.0
275,18275,14.0
276,18276,15.0
277,18277,15.0
278,18278,15.0
279,18279,15.0
280,18280,14.0
281,18281,14.0
282,18282,14.0
283,18283,15.0
284,18284,12.0
285,18285,15.0
286,18286,15.0
287,18287,15.0
288,18288,14.0
289,18289,15.0
290,18290,15.0
291,18291,15.0
292,18292,15.0
293,18293,15.0
294,18294,11.0
295,18295,13.0
296,18296,15.0
297,18297,14.0
298,18298,13.0
299,18299,14.0
300,18300,15.0
301,18301,13.0
302,18302,14.0
303,18303,12.0
304,18304,13.0
305,18305,15.0
306,18306,11.0
307,18307,15.0
308,18308,15.0
309,18309,14.0
310,18310,14.0
311,18311,15.0
312,18312,12.0
313,18313,14.0
314,18314,15.0
315,18315,12.0
316,18316,9.0
317,18317,15.0
318,18318,15.0
319,18319,9.0
320,18320,7.0
321,18321,8.0
322,18322,13.0
323,18323,15.0
324,18324,14.0
325,18325,13.0
326,18326,13.0
327,18327,12.0
328,18328,15.0
329,18329,15.0
330,18330,11.0
331,18331,13.0
332,18332,11.0
333,18333,12.0
334,18334,15.0
335,18335,15.0
336,18336,10.0
337,18337,8.0
338,18338,11.0
339,18339,15.0
340,18340,8.0
341,18341,14.0
342,18342,15.0
343,18343,12.0
344,18344,8.0
345,18345,14.0
346,18346,11.0
347,18347,8.0
348,18348,7.0
349,18349,11.0
350,18350,8.0
351,18351,11.0
352,18352,7.0
353,18353,7.0
354,18354,12.0
355,18355,8.0
356,18356,6.0
357,18357,9.0
358,18358,8.0
359,18359,15.0
360,18360,10.0
361,18361,8.0
362,18362,8.0
363,18363,9.0
364,18364,8.0
365,18365,6.0
366,18366,9.0
367,18367,12.0
368,18368,10.0
369,18369,9.0
370,18370,15.0
371,18371,13.0
372,18372,7.0
373,18373,13.0
374,18374,10.0
375,18375,6.0
376,18376,10.0
377,18377,11.0
378,18378,9.0
379,18379,12.0
380,18380,6.0
381,18381,5.0
382,18382,12.0
383,18383,8.0
384,18384,15.0
385,18385,12.0
386,18386,11.0
387,18387,10.0
388,18388,13.0
389,18389,9.0
390,18390,11.0
391,18391,6.0
392,18392,4.0
393,18393,10.0
394,18394,10.0
395,18395,7.0
396,18396,9.0
397,18397,9.0
398,18398,12.0
399,18399,13.0
400,18400,12.0
401,18401,12.0
402,18402,9.0
403,18403,10.0
404,18404,11.0
405,18405,12.0
406,18406,6.0
407,18407,9.0
408,18408,8.0
409,18409,14.0
410,18410,4.0
411,18411,15.0
412,18412,6.0
413,18413,8.0
414,18414,10.0
415,18415,9.0
416,18416,4.0
417,18417,8.0
418,18418,10.0
419,18419,10.0
420,18420,12.0
421,18421,9.0
422,18422,14.0
423,18423,13.0
424,18424,15.0
425,18425,12.0
426,18426,11.0
427,18427,14.0
428,18428,15.0
429,18429,14.0
430,18430,11.0
431,18431,7.0
432,18432,8.0
433,18433,14.0
434,18434,15.0
435,18435,15.0
436,18436,15.0
437,18437,12.0
438,18438,13.0
439,18439,15.0
440,18440,13.0
441,18441,12.0
442,18442,11.0
443,18443,15.0
444,18444,13.0
445,18445,13.0
446,18446,15.0
447,18447,14.0
448,18448,14.0
449,18449,11.0
450,18450,14.0
451,18451,14.0
452,18452,14.0
453,18453,15.0
454,18454,15.0
455,18455,15.0
456,18456,15.0
457,18457,15.0
458,18458,15.0
459,18459,15.0
460,18460,15.0
461,18461,15.0
462,18462,13.0
463,18463,15.0
464,18464,14.0
465,18465,15.0
466,18466,15.0
467,18467,15.0
468,18468,10.0
469,18469,14.0
470,18470,13.0
471,18471,15.0
472,18472,11.0
473,18473,12.0
474,18474,10.0
475,18475,13.0
476,18476,15.0
477,18477,14.0
478,18478,15.0
479,18479,15.0
480,18480,12.0
481,18481,13.0
482,18482,10.0
483,18483,10.0
484,18484,15.0
485,18485,12.0
486,18486,11.0
487,18487,15.0
488,18488,14.0
489,18489,14.0
490,18490,15.0
491,18491,15.0
492,18492,15.0
493,18493,10.0
494,18494,12.0
495,18495,11.0
496,18496,15.0
497,18497,14.0
498,18498,7.0
499,18499,13.0
500,18500,15.0
501,18501,10.0
502,18502,11.0
503,18503,12.0
504,18504,5.0
505,18505,10.0
506,18506,9.0
507,18507,11.0
508,18508,11.0
509,18509,6.0
510,18510,11.0
511,18511,8.0
512,18512,8.0
513,18513,8.0
514,18514,8.0
515,18515,7.0
516,18516,12.0
517,18517,10.0
518,18518,5.0
519,18519,7.0
520,18520,8.0
521,18521,13.0
522,18522,13.0
523,18523,8.0
524,18524,11.0
525,18525,12.0
526,18526,10.0
527,18527,10.0
528,18528,10.0
529,18529,5.0
530,18530,13.0
531,18531,12.0
532,18532,9.0
533,18533,14.0
534,18534,8.0
535,18535,11.0
536,18536,13.0
537,18537,5.0
538,18538,7.0
539,18539,10.0
540,18540,8.0
541,18541,12.0
542,18542,9.0
543,18543,6.0
544,18544,12.0
545,18545,7.0
546,18546,13.0
547,18547,7.0
548,18548,15.0
549,18549,8.0
550,18550,10.0
551,18551,9.0
552,18552,8.0
553,18553,7.0
554,18554,12.0
555,18555,7.0
556,18556,9.0
557,18557,10.0
558,18558,9.0
559,18559,13.0
560,18560,9.0
561,18561,7.0
562,18562,12.0
563,18563,10.0
564,18564,13.0
565,18565,9.0
566,18566,8.0
567,18567,8.0
568,18568,8.0
569,18569,11.0
570,18570,13.0
571,18571,14.0
572,18572,7.0
573,18573,15.0
574,18574,13.0
575,18575,5.0
576,18576,13.0
577,18577,12.0
578,18578,8.0
579,18579,9.0
580,18580,10.0
581,18581,9.0
582,18582,7.0
583,18583,11.0
584,18584,12.0
585,18585,12.0
586,18586,15.0
587,18587,9.0
588,18588,15.0
589,18589,12.0
590,18590,10.0
591,18591,8.0
592,18592,12.0
593,18593,10.0
594,18594,7.0
595,18595,14.0
596,18596,15.0
597,18597,9.0
598,18598,11.0
